Date,PX_LAST
4/1/1988,0.608
5/1/1988,0.6695
6/1/1988,0.7139
7/1/1988,0.7173
8/1/1988,0.69
11/1/1988,0.6115
12/1/1988,0.649
13/1/1988,0.6285
14/1/1988,0.6388
15/1/1988,0.6593
18/1/1988,0.7378
19/1/1988,0.7276
20/1/1988,0.7242
21/1/1988,0.7105
22/1/1988,0.6866
25/1/1988,0.7105
26/1/1988,0.7037
27/1/1988,0.6934
28/1/1988,0.7071
29/1/1988,0.7071
1/2/1988,0.6798
2/2/1988,0.6627
3/2/1988,0.6729
4/2/1988,0.6559
5/2/1988,0.6524
8/2/1988,0.6388
9/2/1988,0.6422
10/2/1988,0.649
11/2/1988,0.6661
12/2/1988,0.7003
15/2/1988,0.7003
16/2/1988,0.7139
19/2/1988,0.7071
22/2/1988,0.7139
23/2/1988,0.7173
24/2/1988,0.7208
25/2/1988,0.7139
26/2/1988,0.6832
29/2/1988,0.6798
1/3/1988,0.6798
2/3/1988,0.6832
3/3/1988,0.7105
4/3/1988,0.7276
7/3/1988,0.7105
8/3/1988,0.7105
9/3/1988,0.7481
10/3/1988,0.7515
11/3/1988,0.7413
14/3/1988,0.7754
15/3/1988,0.7583
16/3/1988,0.7515
17/3/1988,0.7686
18/3/1988,0.7583
21/3/1988,0.7618
22/3/1988,0.7413
23/3/1988,0.7344
24/3/1988,0.7208
25/3/1988,0.7105
28/3/1988,0.69
29/3/1988,0.69
30/3/1988,0.7071
4/4/1988,0.6832
5/4/1988,0.6969
6/4/1988,0.6969
7/4/1988,0.6969
8/4/1988,0.6866
11/4/1988,0.6866
12/4/1988,0.6832
13/4/1988,0.7003
14/4/1988,0.69
15/4/1988,0.6764
18/4/1988,0.6729
19/4/1988,0.6695
20/4/1988,0.69
21/4/1988,0.69
22/4/1988,0.6934
25/4/1988,0.6969
26/4/1988,0.69
27/4/1988,0.69
28/4/1988,0.7003
29/4/1988,0.7242
3/5/1988,0.7242
4/5/1988,0.731
5/5/1988,0.731
6/5/1988,0.7413
9/5/1988,0.7276
10/5/1988,0.7378
11/5/1988,0.7447
12/5/1988,0.7413
13/5/1988,0.7857
16/5/1988,0.7788
18/5/1988,0.7857
19/5/1988,0.7788
20/5/1988,0.7754
23/5/1988,0.7618
24/5/1988,0.7618
25/5/1988,0.7652
26/5/1988,0.7754
27/5/1988,0.7754
31/5/1988,0.7822
1/6/1988,0.8096
2/6/1988,0.8198
3/6/1988,0.8198
6/6/1988,0.8062
7/6/1988,0.8164
8/6/1988,0.8027
9/6/1988,0.8164
10/6/1988,0.8198
13/6/1988,0.8267
14/6/1988,0.8267
15/6/1988,0.8472
16/6/1988,0.8813
17/6/1988,0.8676
20/6/1988,0.8813
21/6/1988,0.8506
22/6/1988,0.8881
23/6/1988,0.9018
24/6/1988,0.8984
27/6/1988,0.8847
28/6/1988,0.8779
29/6/1988,0.8813
30/6/1988,0.9257
1/7/1988,0.9155
4/7/1988,0.895
5/7/1988,0.8984
6/7/1988,0.9052
7/7/1988,0.8881
8/7/1988,0.8984
11/7/1988,0.9052
12/7/1988,0.9121
13/7/1988,0.9086
14/7/1988,0.9155
15/7/1988,0.9223
18/7/1988,0.936
19/7/1988,0.9326
20/7/1988,0.9667
21/7/1988,1.0077
22/7/1988,0.9838
26/7/1988,0.9735
27/7/1988,0.9906
28/7/1988,1.0111
29/7/1988,1.0384
1/8/1988,1.0453
2/8/1988,1.0384
3/8/1988,1.0521
4/8/1988,1.0316
5/8/1988,1.0384
8/8/1988,1.0384
10/8/1988,0.994
11/8/1988,0.9838
12/8/1988,0.9872
15/8/1988,0.9804
16/8/1988,0.9804
17/8/1988,0.9906
18/8/1988,0.9599
19/8/1988,0.9565
22/8/1988,0.9599
23/8/1988,0.9565
24/8/1988,0.9462
25/8/1988,0.9496
26/8/1988,0.9155
29/8/1988,0.8574
30/8/1988,0.8676
1/9/1988,0.8881
2/9/1988,0.9155
5/9/1988,0.936
6/9/1988,0.9223
7/9/1988,0.9257
8/9/1988,0.9394
9/9/1988,0.9326
12/9/1988,0.9189
13/9/1988,0.9189
14/9/1988,0.9257
15/9/1988,0.936
16/9/1988,0.9394
19/9/1988,0.9462
20/9/1988,0.9223
21/9/1988,0.9326
22/9/1988,0.9257
23/9/1988,0.9257
26/9/1988,0.9121
27/9/1988,0.9086
28/9/1988,0.9223
29/9/1988,0.9326
30/9/1988,0.9394
3/10/1988,0.9326
4/10/1988,0.9086
5/10/1988,0.8813
6/10/1988,0.8881
7/10/1988,0.9018
10/10/1988,0.9257
11/10/1988,0.9326
12/10/1988,0.9223
13/10/1988,0.9223
14/10/1988,0.9223
