Date,PX_LAST
31/12/1987,100
1/1/1988,100
4/1/1988,101.157
5/1/1988,107.448
6/1/1988,111.32
7/1/1988,110.278
8/1/1988,108.452
11/1/1988,102.211
12/1/1988,105.839
13/1/1988,103.529
14/1/1988,104.628
15/1/1988,106.005
18/1/1988,111.501
19/1/1988,109.993
20/1/1988,110.971
21/1/1988,109.632
22/1/1988,108.597
25/1/1988,109.645
26/1/1988,109.141
27/1/1988,108.012
28/1/1988,108.748
29/1/1988,109.528
1/2/1988,108.026
2/2/1988,106.64
3/2/1988,107.712
4/2/1988,106.747
5/2/1988,105.649
8/2/1988,103.896
9/2/1988,103.131
10/2/1988,103.933
11/2/1988,104.846
12/2/1988,105.109
15/2/1988,106.173
16/2/1988,106.629
17/2/1988,106.629
18/2/1988,106.629
19/2/1988,107.473
22/2/1988,108.847
23/2/1988,108.368
24/2/1988,108.149
25/2/1988,108.116
26/2/1988,108.401
29/2/1988,109.231
1/3/1988,109.178
2/3/1988,109.266
3/3/1988,112.348
4/3/1988,113.334
7/3/1988,112.8
8/3/1988,113.03
9/3/1988,115.407
10/3/1988,116.611
11/3/1988,116.206
14/3/1988,117.663
15/3/1988,117.252
16/3/1988,117.09
17/3/1988,118.273
18/3/1988,118.557
21/3/1988,120.166
22/3/1988,118.064
23/3/1988,118.447
24/3/1988,117.724
25/3/1988,115.548
28/3/1988,112.732
29/3/1988,112.123
30/3/1988,114.263
31/3/1988,113.358
1/4/1988,113.358
4/4/1988,112.111
5/4/1988,113.102
6/4/1988,114.412
7/4/1988,115.884
8/4/1988,115.137
11/4/1988,115.292
12/4/1988,115.248
13/4/1988,116.281
14/4/1988,116.316
15/4/1988,112.825
18/4/1988,112.698
19/4/1988,112.086
20/4/1988,113.173
21/4/1988,113.889
22/4/1988,114.591
25/4/1988,115.663
26/4/1988,115.35
27/4/1988,115.582
28/4/1988,116.738
29/4/1988,117.224
2/5/1988,117.24
3/5/1988,117.739
4/5/1988,117.77
5/5/1988,117.972
6/5/1988,117.849
9/5/1988,117.598
10/5/1988,116.522
11/5/1988,116.398
12/5/1988,115.828
13/5/1988,117.324
16/5/1988,117.135
17/5/1988,117.205
18/5/1988,118.074
19/5/1988,115.617
20/5/1988,115.262
23/5/1988,114.834
24/5/1988,113.834
25/5/1988,115.181
26/5/1988,117.133
27/5/1988,117.76
30/5/1988,117.76
31/5/1988,119.081
1/6/1988,120.245
2/6/1988,120.797
3/6/1988,121.674
6/6/1988,123.412
7/6/1988,122.829
8/6/1988,123.363
9/6/1988,123.458
10/6/1988,123.709
13/6/1988,123.917
14/6/1988,122.809
15/6/1988,124.208
16/6/1988,125.439
17/6/1988,123.925
20/6/1988,124.593
21/6/1988,122.312
22/6/1988,125.053
23/6/1988,128.121
24/6/1988,128.985
27/6/1988,128.718
28/6/1988,129.122
29/6/1988,129.011
30/6/1988,129.343
1/7/1988,131.059
4/7/1988,130.079
5/7/1988,130.665
6/7/1988,129.819
7/7/1988,129.123
8/7/1988,129.259
11/7/1988,130.085
12/7/1988,129.947
13/7/1988,129.615
14/7/1988,130.414
15/7/1988,131.074
18/7/1988,132.483
19/7/1988,131.984
20/7/1988,132.81
21/7/1988,134.041
22/7/1988,132.722
25/7/1988,132.726
26/7/1988,132.191
27/7/1988,132.8
28/7/1988,131.991
29/7/1988,132.843
1/8/1988,135.751
2/8/1988,136.848
3/8/1988,139.116
4/8/1988,138.158
5/8/1988,138.29
8/8/1988,139.567
9/8/1988,139.567
10/8/1988,135.631
11/8/1988,134.202
12/8/1988,134.093
15/8/1988,132.534
16/8/1988,131.921
17/8/1988,132.229
18/8/1988,129.025
19/8/1988,128.13
22/8/1988,127.439
23/8/1988,126.239
24/8/1988,126.587
25/8/1988,126.441
26/8/1988,123.033
29/8/1988,120.324
30/8/1988,120.571
31/8/1988,122.573
1/9/1988,121.83
2/9/1988,123.285
5/9/1988,124.48
6/9/1988,124.071
7/9/1988,124.178
8/9/1988,125.179
9/9/1988,124.618
12/9/1988,123.939
13/9/1988,123.5
14/9/1988,124.288
15/9/1988,124.733
16/9/1988,124.336
19/9/1988,124.114
20/9/1988,121.325
21/9/1988,121.771
22/9/1988,122.228
23/9/1988,120.069
26/9/1988,118.528
27/9/1988,118.447
28/9/1988,120.104
29/9/1988,120.417
30/9/1988,120.943
3/10/1988,119.802
4/10/1988,117.505
5/10/1988,116.503
6/10/1988,118.341
7/10/1988,119.471
10/10/1988,121.288
11/10/1988,121.453
12/10/1988,120.625
13/10/1988,119.774
14/10/1988,119.671
17/10/1988,120.78
18/10/1988,122.261
19/10/1988,123.137
20/10/1988,122.898
21/10/1988,124.335
24/10/1988,125.211
25/10/1988,124.695
26/10/1988,126.166
27/10/1988,126.061
28/10/1988,124.605
31/10/1988,126.053
1/11/1988,124.854
2/11/1988,124.698
3/11/1988,124.52
4/11/1988,124.682
7/11/1988,124.719
8/11/1988,124.719
9/11/1988,124.873
10/11/1988,123.389
11/11/1988,123.569
14/11/1988,121.343
15/11/1988,119.951
16/11/1988,121.033
17/11/1988,120.316
18/11/1988,119.831
21/11/1988,120.48
22/11/1988,121.54
23/11/1988,122.173
24/11/1988,122.968
25/11/1988,122.95
28/11/1988,122.153
29/11/1988,121.92
30/11/1988,122.046
1/12/1988,121.878
2/12/1988,121.348
5/12/1988,120.454
6/12/1988,120.671
7/12/1988,121.504
8/12/1988,121.717
9/12/1988,121.434
12/12/1988,121.324
13/12/1988,121.448
14/12/1988,121.091
15/12/1988,121.388
16/12/1988,121.352
19/12/1988,122.129
20/12/1988,122.797
21/12/1988,122.499
22/12/1988,123.322
23/12/1988,125.323
26/12/1988,125.323
27/12/1988,126.938
28/12/1988,130.142
29/12/1988,129.353
30/12/1988,128.941
2/1/1989,128.941
3/1/1989,128.666
4/1/1989,128.157
5/1/1989,129.258
6/1/1989,130.057
9/1/1989,135.788
10/1/1989,136.753
11/1/1989,137.178
12/1/1989,137.826
13/1/1989,137.708
16/1/1989,139.467
17/1/1989,139.445
18/1/1989,137.798
19/1/1989,138.328
20/1/1989,138.099
23/1/1989,138.327
24/1/1989,137.856
25/1/1989,139.532
26/1/1989,140.136
27/1/1989,141.24
30/1/1989,143.748
31/1/1989,143.716
1/2/1989,143.667
2/2/1989,143.004
3/2/1989,143.899
6/2/1989,143.899
7/2/1989,143.899
8/2/1989,145.761
9/2/1989,147.796
10/2/1989,148.716
13/2/1989,147.232
14/2/1989,144.989
15/2/1989,145.683
16/2/1989,146.704
17/2/1989,145.746
20/2/1989,146.04
21/2/1989,145.972
22/2/1989,146.392
23/2/1989,147.886
24/2/1989,147.768
27/2/1989,146.455
28/2/1989,144.627
1/3/1989,143.394
2/3/1989,143.333
3/3/1989,145.312
6/3/1989,145.503
7/3/1989,146.79
8/3/1989,148.224
9/3/1989,149.816
10/3/1989,150.798
13/3/1989,152.673
14/3/1989,153.497
15/3/1989,155.355
16/3/1989,155.99
17/3/1989,156.438
20/3/1989,153.876
21/3/1989,153.791
22/3/1989,155.021
23/3/1989,155.252
24/3/1989,155.252
27/3/1989,156.063
28/3/1989,156.191
29/3/1989,156.461
30/3/1989,155.723
31/3/1989,155.629
3/4/1989,154.175
4/4/1989,155.323
5/4/1989,154.467
6/4/1989,154.204
7/4/1989,152.889
10/4/1989,152.137
11/4/1989,152.097
12/4/1989,156.94
13/4/1989,160.179
14/4/1989,162.283
17/4/1989,164.623
18/4/1989,162.916
19/4/1989,161.773
20/4/1989,160.807
21/4/1989,158.865
24/4/1989,159.059
25/4/1989,157.939
26/4/1989,159.134
27/4/1989,159.253
28/4/1989,162.135
1/5/1989,162.135
2/5/1989,162.364
3/5/1989,164.548
4/5/1989,165.939
